date,Agrt,Aurt,Agrtclose,Aurtclose
2020/4/16,0.013058147,0.012286735,3777,378.33
2020/4/17,-0.03119371,-0.022507098,3661,369.91
2020/4/20,0.004360868,0,3677,369.91
2020/4/21,0.005965311,0.012679139,3699,374.63
2020/4/22,-0.037179003,-0.004306835,3564,373.02
2020/4/23,0.034742948,0.015297123,3690,378.77
2020/4/24,0.005674924,0.008517626,3711,382.01
2020/4/27,-0.006759523,-0.004801962,3686,380.18
2020/4/28,-0.019450004,-0.009514317,3615,376.58
2020/4/29,0.014554699,0.004451282,3668,378.26
2020/4/30,0.009496748,0.006403606,3703,380.69
2020/5/6,-0.007862315,-0.001761513,3674,380.02
2020/5/7,-0.006279884,-0.005356143,3651,377.99
2020/5/8,0.032869338,0.013141139,3773,382.99
2020/5/11,0.001059603,-0.004579781,3777,381.24
2020/5/12,-0.004511086,-0.001259843,3760,380.76
2020/5/13,0.002921261,-0.00018386,3771,380.69
2020/5/14,0.002912752,0.006232344,3782,383.07
2020/5/15,0.044980444,0.015001642,3956,388.86
2020/5/18,0.065075536,0.023408488,4222,398.07
2020/5/19,-0.023485383,-0.014906951,4124,392.18
2020/5/20,0.034321767,0.011509824,4268,396.72
2020/5/21,-0.025389903,-0.012019924,4161,391.98
2020/5/22,-0.012089122,0.000357097,4111,392.12
2020/5/25,0.00412672,-0.00186341,4128,391.39
2020/5/26,0.0255903,0.003748809,4235,392.86
2020/5/27,-0.015947024,-0.008384079,4168,389.58
2020/5/28,0.016419167,0.006549683,4237,392.14
2020/5/29,0.002121892,-0.000561182,4246,391.92
2020/6/1,0.048722872,0.009623882,4458,395.71
2020/6/2,-0.00901313,-0.002555637,4418,394.7
2020/6/3,-0.020350537,-0.009776543,4329,390.86
2020/6/4,-0.021717141,-0.008607785,4236,387.51
2020/6/5,0.008930729,0.000515983,4274,387.71
2020/6/8,-0.004925541,-0.009771347,4253,383.94
2020/6/9,-0.001411765,0.002185452,4247,384.78
2020/6/10,0.008440847,0.010521923,4283,388.85
2020/6/11,0.007211849,0.008450755,4314,392.15
2020/6/12,-0.019899989,-0.001403509,4229,391.6
2020/6/15,-0.024414808,-0.007690374,4127,388.6
2020/6/16,0.010365285,0.002775353,4170,389.68
2020/6/17,0.008120417,0.001436045,4204,390.24
2020/6/18,0.002375862,-0.000897286,4214,389.89
2020/6/19,0.004262379,0.002024163,4232,390.68
2020/6/22,0.017566912,0.008766621,4307,394.12
2020/6/23,-0.009096273,0.000355159,4268,394.26
2020/6/24,0.006073366,0.007177548,4294,397.1
2020/6/29,-0.001398276,0.000377667,4288,397.25
2020/6/30,0.000233182,0.001710305,4289,397.93
2020/7/1,0.024413926,0.006936907,4395,400.7
2020/7/2,-0.022783174,-0.011521067,4296,396.11
2020/7/3,0.006265248,0.003553297,4323,397.52
2020/7/6,0.001386963,-0.001611279,4329,396.88
2020/7/7,0.000230974,0.000780788,4330,397.19
2020/7/8,0.01011038,0.005598739,4374,399.42
2020/7/9,0.021710486,0.006363964,4470,401.97
2020/7/10,-0.013740502,-0.006088603,4409,399.53
2020/7/13,0.025969671,0.003921917,4525,401.1
2020/7/14,-0.001548159,-0.002521251,4518,400.09
2020/7/15,0.010130014,0.001448624,4564,400.67
2020/7/16,-0.00505218,-0.002548982,4541,399.65
2020/7/17,-0.00862551,-0.006678073,4502,396.99
2020/7/20,0.009945932,0.003419924,4547,398.35
2020/7/21,0.051645113,0.007677245,4788,401.42
2020/7/22,0.066064612,0.021612206,5115,410.19
2020/7/23,0.037791013,0.00610047,5312,412.7
2020/7/24,0.001128881,0.0118031,5318,417.6
2020/7/27,0.061089085,0.020877288,5653,426.41
2020/7/28,-0.00141618,-0.003312156,5645,425
2020/7/29,0.008115782,0.004671425,5691,426.99
2020/7/30,-0.048790164,-0.012703597,5420,421.6
2020/7/31,0.039256194,0.016490417,5637,428.61
2020/8/3,0.005131392,-0.001985124,5666,427.76
2020/8/4,0.002115657,0.000724443,5678,428.07
2020/8/5,0.072836596,0.026714967,6107,439.66
2020/8/6,0.046237141,0.006370965,6396,442.47
2020/8/7,0.013819023,0.007318287,6485,445.72
2020/8/10,0.016516662,-0.00838107,6593,442
2020/8/11,-0.016979375,-0.022328893,6482,432.24
2020/8/12,-0.103613611,-0.063367019,5844,405.7
2020/8/13,0.015620012,0.015918958,5936,412.21
2020/8/14,0.023640189,0.010161438,6078,416.42
2020/8/17,0.011451131,0.009536059,6148,420.41
2020/8/18,0.037824664,0.021787047,6385,429.67
2020/8/19,-0.042389393,-0.014463958,6120,423.5
2020/8/20,-0.011503824,-0.020805255,6050,414.78
2020/8/21,-0.018012495,-0.001061366,5942,414.34
2020/8/24,-0.016117068,0.003902209,5847,415.96
2020/8/25,-0.015338517,-0.005206336,5758,413.8
2020/8/26,-0.002956781,-0.003437511,5741,412.38
2020/8/27,0.039448468,0.012459043,5972,417.55
2020/8/28,0.009665131,0,6030,417.55
2020/8/31,0.014488235,0.002750375,6118,418.7
2020/9/1,0.032325722,0.012012584,6319,423.76
2020/9/2,-0.031835486,-0.012251447,6121,418.6
2020/9/3,-0.029848012,-0.011702223,5941,413.73
2020/9/4,-0.012022836,0.000724848,5870,414.03
2020/9/7,0.003401364,-0.002611915,5890,412.95
2020/9/8,0.00643089,0.002587762,5928,414.02
2020/9/9,-0.017013,-0.000144931,5828,413.96
2020/9/10,0.015324666,0.00719696,5918,416.95
2020/9/11,-0.013781588,-0.004639599,5837,415.02
2020/9/14,0.0015407,0.002070045,5846,415.88
2020/9/15,0.00953361,0.002905269,5902,417.09
2020/9/16,-0.003564461,-0.002040009,5881,416.24
2020/9/17,-0.024267605,-0.007281878,5740,413.22
2020/9/18,0.013669215,0.003792229,5819,414.79
2020/9/21,-0.01523839,0.00089162,5731,415.16
2020/9/22,-0.113712636,-0.026036974,5115,404.49
2020/9/23,-0.03359823,-0.011962787,4946,399.68
2020/9/24,-0.042753026,-0.011272261,4739,395.2
2020/9/25,0.042146291,0.010796768,4943,399.49
2020/9/28,-0.021264347,-0.001979479,4839,398.7
2020/9/29,0.031729324,0.012215034,4995,403.6
2020/9/30,0.005191705,-0.002381426,5021,402.64
2020/10/9,0.011485275,0.003545268,5079,404.07
2020/10/12,0.046358912,0.010095624,5320,408.17
2020/10/13,-0.009632712,-0.004493507,5269,406.34
2020/10/14,-0.032403992,-0.010588916,5101,402.06
2020/10/15,-0.002355251,-0.00024875,5089,401.96
2020/10/16,0.004313732,0.00417081,5111,403.64
2020/10/19,0.020719107,0.000495368,5218,403.84
2020/10/20,-0.013894473,-0.006184895,5146,401.35
2020/10/21,0.020769977,0.005714301,5254,403.65
2020/10/22,-0.004004964,0.000742942,5233,403.95
2020/10/23,-0.011338644,-0.004490821,5174,402.14
2020/10/26,-0.021686891,-0.004211372,5063,400.45
2020/10/27,0.018395822,0.008702193,5157,403.95
2020/10/28,0.004643073,0.000866069,5181,404.3
2020/10/29,-0.05087688,-0.012694632,4924,399.2
2020/10/30,-0.011232631,-0.006963064,4869,396.43
